"Lo, Maodo",PG,BER,GER,191,29,27,37%,21.6,9.5,2.0,3.9,52%,1.3,3.9,35%,3.4,7.8,43%,1.4,1.6,89%,0.3,1.0,1.3,3.1,1.5,2.0,0.6,2.1,0.0,7.6,0
"Siva, Peyton",PG,BER,USA,182,31,26,42%,20.3,10.1,1.3,3.0,43%,1.7,5.0,33%,3.0,8.0,37%,2.5,2.8,90%,0.5,1.5,2.0,5.2,1.9,3.0,1.2,2.3,0.0,11.7,0
"Giffey, Niels",F,BER,GER,200,30,24,42%,20.0,8.1,2.2,4.2,52%,1.0,2.3,42%,3.2,6.5,49%,0.8,1.0,79%,1.2,1.7,2.9,1.4,1.9,1.8,0.8,1.3,0.4,8.3,0
"Delow, Malte",SG,BER,GER,194,20,23,39%,8.3,1.6,0.5,1.0,46%,0.2,0.7,27%,0.7,1.7,38%,0.1,0.1,67%,0.5,0.4,0.9,0.5,1.6,0.4,0.4,0.3,0.0,0.7,0
"Eriksson, Marcus",F,BER,SWE,201,28,22,32%,23.3,12.4,1.5,2.5,59%,2.6,6.0,44%,4.1,8.5,49%,1.5,1.6,94%,0.2,1.5,1.7,0.7,1.3,2.2,0.5,1.0,0.0,10.7,0
"Mattisseck, Jonas",SG,BER,GER,194,21,31,32%,13.8,3.0,0.3,0.7,43%,0.7,2.1,36%,1.0,2.7,38%,0.2,0.3,88%,0.2,0.8,1.1,0.9,1.8,0.9,0.4,0.5,0.0,2.1,0
"Schneider, Tim",PF,BER,GER,208,24,28,36%,11.2,2.8,0.6,1.7,36%,0.5,1.6,30%,1.1,3.3,33%,0.2,0.3,71%,0.5,1.0,1.5,0.3,1.1,0.3,0.1,0.3,0.1,1.3,0
"Brenneke, Lorenz",F,BER,GER,204,21,1,0%,9.2,0.0,0.0,1.0,0%,0.0,0.0,-,0.0,1.0,0%,0.0,0.0,-,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0
"Nikic, Kresimir",C,BER,CRO,213,22,10,40%,8.3,2.2,0.9,2.2,41%,0.0,0.0,-,0.9,2.2,41%,0.4,0.4,100%,0.5,1.0,1.5,0.4,0.9,1.1,0.2,0.6,0.1,2.6,0
"Olinde, Louis",F,BER,GER,205,23,25,32%,16.0,4.3,1.0,2.4,42%,0.6,1.7,36%,1.6,4.1,39%,0.5,0.8,65%,1.1,1.6,2.7,0.2,2.2,1.2,0.5,0.8,0.2,3.0,0
"Fontecchio, Simone",F,BER,ITA,203,26,29,31%,23.4,10.6,2.7,5.0,54%,1.4,3.6,39%,4.1,8.6,48%,1.1,1.2,89%,0.9,2.6,3.4,1.6,1.8,1.7,0.9,1.6,0.2,10.1,0
"Thiemann, Johannes",C,BER,GER,205,27,31,35%,19.0,7.7,2.0,4.2,48%,0.7,2.0,38%,2.8,6.2,45%,1.4,1.8,80%,1.4,2.4,3.8,1.5,1.6,2.6,0.7,1.1,0.0,9.4,0
"Granger, Jayson",PG,BER,ITA,189,32,28,32%,23.3,8.1,1.8,3.6,49%,1.4,4.0,34%,3.1,7.7,41%,0.5,0.6,78%,0.3,2.4,2.7,4.9,1.3,2.7,1.0,1.9,0.0,11.4,0
"Sikma, Luke",F/PF,BER,USA,203,32,31,35%,24.9,9.1,2.8,4.5,62%,0.6,1.8,33%,3.4,6.3,54%,1.7,2.2,78%,1.7,4.0,5.7,3.8,2.5,3.6,0.8,3.0,0.3,14.0,0
"Lammers, Ben",C,BER,USA,208,26,28,32%,20.7,10.0,4.2,6.5,64%,0.3,0.7,37%,4.4,7.2,61%,0.9,1.0,89%,1.2,2.8,4.0,0.7,1.9,1.1,0.8,0.7,1.3,12.2,0
"Koumadje, Christ",C,BER,CHA,223,25,4,25%,11.9,3.5,1.8,2.5,70%,0.0,0.0,-,1.8,2.5,70%,0.0,0.8,0%,0.5,2.8,3.3,0.3,2.3,0.8,0.0,1.0,1.0,4.0,0
"Larkin, Shane",PG,EFS,USA,180,29,28,68%,28.2,15.1,2.0,3.9,50%,2.6,6.3,41%,4.6,10.2,45%,3.4,3.9,86%,0.5,1.9,2.4,4.1,1.0,3.9,1.4,2.1,0.1,17.0,0
"Beaubois, Rodrigue",PG/SG,EFS,FRA,190,33,31,65%,21.1,9.9,1.8,3.4,53%,1.8,3.7,48%,3.6,7.1,50%,1.0,1.0,94%,0.2,1.5,1.7,1.8,1.7,1.4,0.5,1.1,0.4,9.2,0
"Singleton, Chris",PF/C,EFS,USA,206,32,34,65%,21.7,6.0,0.9,1.9,46%,1.0,2.5,39%,1.8,4.4,42%,1.4,1.7,81%,1.0,2.8,3.7,0.7,2.3,2.1,0.8,0.6,0.5,7.9,0
"Saybir, Yigitcan",F,EFS,TUR,198,22,2,100%,2.4,1.0,0.5,1.0,50%,0.0,0.5,0%,0.5,1.5,33%,0.0,0.0,-,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0
"Balbay, Dogus",SG,EFS,TUR,185,32,25,60%,7.4,1.6,0.5,0.6,86%,0.2,0.6,29%,0.6,1.1,57%,0.2,0.3,63%,0.1,0.6,0.7,0.6,1.2,0.4,0.5,0.4,0.2,1.9,0
"Gecim, Tolga",PF,EFS,TUR,206,25,6,67%,5.5,0.7,0.3,1.2,29%,0.0,0.3,0%,0.3,1.5,22%,0.0,0.0,-,0.0,0.8,0.8,0.3,0.3,0.3,0.0,0.7,0.0,-0.2,0
"Gazi, Erten",SG,EFS,TUR,190,24,8,50%,6.0,1.4,0.3,0.5,50%,0.3,0.9,29%,0.5,1.4,36%,0.1,0.3,50%,0.3,0.4,0.6,0.6,1.4,0.6,0.3,0.0,0.0,1.0,0
"Sanli, Sertac",C,EFS,TUR,212,30,27,70%,13.5,7.4,2.4,3.6,69%,0.4,1.1,37%,2.9,4.7,61%,1.3,1.7,77%,0.7,1.1,1.8,0.7,2.1,1.1,0.4,0.6,0.4,6.7,0
"Moerman, Adrien",PF,EFS,FRA,201,33,34,65%,21.3,6.9,1.9,3.1,59%,0.9,2.6,36%,2.8,5.8,48%,0.4,0.6,59%,1.2,3.7,4.9,1.2,1.5,1.2,0.6,1.0,0.1,9.0,0
"Tuncer, Bugrahan",SG,EFS,TUR,193,28,14,64%,6.1,2.6,0.4,1.0,43%,0.6,1.6,36%,1.0,2.6,39%,0.0,0.0,-,0.4,0.8,1.1,1.2,1.0,0.3,0.3,0.5,0.0,2.3,0
"Pleiss, Tibor",C,EFS,GER,218,32,19,53%,13.8,8.0,3.0,5.0,60%,0.3,0.7,38%,3.3,5.7,57%,1.2,1.3,92%,1.1,2.0,3.1,0.6,0.9,1.2,0.2,0.8,0.4,8.9,0
"Micic, Vasilije",PG,EFS,SER,195,27,33,64%,30.1,16.1,3.8,6.8,56%,1.6,4.5,35%,5.5,11.4,48%,3.6,4.2,86%,0.4,2.2,2.6,5.0,2.5,4.9,1.2,3.0,0.0,17.1,0
"Anderson, James",F,EFS,USA,198,32,34,65%,16.5,4.8,1.0,1.7,56%,0.6,1.4,45%,1.6,3.2,51%,0.9,1.3,70%,0.9,2.2,3.1,0.9,1.4,1.1,0.5,0.4,0.1,6.6,0
"Dunston, Bryant",C,EFS,USA,203,35,29,62%,21.5,8.3,3.2,5.5,59%,0.0,0.1,50%,3.3,5.6,59%,1.7,2.8,61%,1.8,2.2,4.0,1.1,2.4,3.0,0.8,0.8,1.0,11.4,0
"Simon, Krunoslav",SG,EFS,CRO,197,36,28,64%,26.5,10.9,2.5,4.4,57%,1.6,3.8,42%,4.1,8.2,50%,1.2,1.5,77%,0.5,2.5,3.1,3.4,1.2,1.7,0.5,1.1,0.3,13.0,0
"Musa, Dzanan",F,EFS,BIH,203,22,4,75%,2.9,0.0,0.0,0.0,-,0.0,0.5,0%,0.0,0.5,0%,0.0,0.0,-,0.0,0.5,0.5,0.3,0.5,0.0,0.3,0.5,0.0,-0.5,0
"Punter, Kevin",SG,MIL,USA,193,28,29,62%,25.8,15.0,3.1,5.8,53%,2.0,4.9,40%,5.0,10.7,47%,2.9,3.3,89%,0.2,1.4,1.6,1.6,1.9,3.3,0.8,1.3,0.0,12.6,0
"Leday, Zach",PF/C,MIL,USA,201,27,29,62%,24.2,10.3,2.5,5.1,49%,1.0,2.1,49%,3.6,7.2,49%,2.2,2.4,90%,1.0,3.5,4.5,0.6,2.0,3.4,0.6,0.9,0.4,12.7,0
"Moretti, Davide",PG/SG,MIL,ITA,190,23,3,67%,1.9,0.7,0.0,0.0,-,0.0,0.3,0%,0.0,0.3,0%,0.7,0.7,100%,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.3,0.0,0.7,0
"Micov, Vladimir",F/PF,MIL,SER,201,36,23,61%,19.3,6.3,1.7,3.5,50%,0.7,1.7,44%,2.5,5.2,48%,0.6,0.8,68%,0.2,1.4,1.6,1.1,1.7,1.4,0.7,0.8,0.1,5.5,0
"Moraschini, Riccardo",PG,MIL,ITA,194,30,23,70%,10.7,2.8,0.4,1.1,38%,0.4,0.8,47%,0.8,2.0,42%,0.7,1.1,65%,0.1,1.5,1.6,1.1,1.1,0.9,0.4,0.6,0.0,3.4,0
"Roll, Michael",F,MIL,USA,198,34,30,57%,16.3,4.6,0.9,1.8,48%,0.9,2.1,41%,1.7,3.9,44%,0.3,0.3,89%,0.1,1.2,1.4,1.3,1.6,0.6,0.5,0.4,0.1,4.1,0
"Rodriguez, Sergio",PG,MIL,ESP,191,35,30,67%,20.1,9.6,1.8,2.9,63%,1.6,4.7,34%,3.4,7.6,45%,1.2,1.3,92%,0.1,1.9,2.0,4.7,1.8,2.0,0.8,1.8,0.1,11.2,0
"Tarczewski, Kaleb",C,MIL,USA,213,28,32,63%,13.9,4.2,1.7,3.0,56%,0.0,0.0,-,1.7,3.0,56%,0.8,1.3,65%,1.3,1.9,3.2,0.3,2.4,1.6,0.3,0.9,0.4,4.8,0
"Biligha, Paul",C,MIL,ITA,200,31,7,86%,3.4,0.9,0.1,0.6,25%,0.0,0.0,-,0.1,0.6,25%,0.6,0.6,100%,0.4,0.9,1.3,0.0,0.3,0.3,0.1,0.4,0.3,1.7,0
"Cinciarini, Andrea",PG,MIL,ITA,193,35,7,71%,2.6,0.0,0.0,0.0,-,0.0,0.3,0%,0.0,0.3,0%,0.0,0.0,-,0.0,0.3,0.3,0.3,0.7,0.3,0.0,0.3,0.0,-0.4,0
"Delaney, Malcolm",PG,MIL,USA,191,32,26,69%,24.7,10.8,1.8,4.3,41%,1.5,4.0,39%,3.3,8.3,40%,2.6,3.3,80%,0.2,2.1,2.3,3.7,2.8,3.5,1.0,2.0,0.0,10.5,0
"Shields, Shavon",SG/F,MIL,DEN,201,27,29,55%,27.0,13.5,3.6,6.2,57%,1.5,3.4,45%,5.1,9.6,53%,1.8,2.3,80%,0.8,3.1,3.9,1.4,1.5,2.7,1.1,1.2,0.2,15.0,0
"Brooks, Jeff",PF,MIL,USA,203,32,26,58%,13.8,2.5,0.5,1.2,44%,0.3,0.9,38%,0.9,2.2,41%,0.3,0.5,69%,0.9,1.6,2.5,0.8,1.2,0.4,0.3,0.3,0.4,3.8,0
"Hines, Kyle",C,MIL,USA,198,35,33,61%,24.5,8.1,3.4,6.3,55%,0.0,0.0,0%,3.4,6.3,54%,1.2,1.8,68%,1.8,2.5,4.3,1.9,2.5,2.3,0.7,1.3,0.7,10.1,0
"Datome, Luigi",F/PF,MIL,ITA,203,34,31,61%,17.3,7.6,1.2,2.7,45%,1.4,2.6,53%,2.6,5.3,49%,1.0,1.0,94%,0.5,2.4,2.9,0.9,1.9,0.8,0.2,0.5,0.1,7.1,0
"Evans, Jeremy",PF/C,MIL,USA,206,34,5,80%,10.2,4.2,1.6,2.4,67%,0.2,0.4,50%,1.8,2.8,64%,0.4,0.4,100%,1.4,2.2,3.6,0.0,1.8,0.6,0.2,1.2,0.2,4.8,0
"Hall, Langston",SG,CZV,USA,192,30,21,33%,16.2,5.2,1.5,3.7,42%,0.6,1.4,41%,2.1,5.0,42%,0.4,0.4,100%,0.5,1.0,1.6,2.8,2.1,0.8,0.8,1.8,0.1,4.1,0
"Walden, Corey",PG,CZV,USA,188,29,30,30%,23.4,10.5,1.8,3.9,46%,1.4,3.5,39%,3.2,7.4,43%,2.8,3.3,84%,0.3,1.4,1.8,2.3,2.9,4.3,0.9,1.9,0.1,9.9,0
"Loyd, Jordan",SG,CZV,USA,193,28,29,28%,27.3,17.3,3.8,7.4,52%,1.9,6.1,31%,5.7,13.5,42%,4.0,4.4,91%,0.7,2.9,3.6,3.2,2.9,5.0,1.2,2.3,0.2,16.5,0
"Uskokovic, Aleksa",SG,CZV,SRB,194,22,16,25%,13.8,4.3,1.3,2.5,53%,0.3,0.9,36%,1.6,3.4,48%,0.8,0.9,80%,0.3,1.3,1.5,2.1,1.8,1.0,0.3,1.4,0.0,3.8,0
"Davidovac, Dejan",F,CZV,SRB,202,26,33,27%,22.7,7.2,1.8,3.2,57%,0.8,2.2,38%,2.7,5.5,49%,1.0,1.2,78%,0.8,2.0,2.8,1.6,2.1,1.9,1.0,1.1,0.2,8.3,0
"Lazic, Branko",SG,CZV,SRB,195,32,33,30%,16.3,2.7,0.4,1.1,39%,0.5,1.5,35%,0.9,2.5,37%,0.3,0.3,91%,0.4,0.9,1.3,0.7,2.3,0.7,0.6,0.3,0.0,1.6,0
"Reath, Duop",C,CZV,AUS,210,25,23,35%,13.3,4.8,1.3,2.0,65%,0.6,1.7,35%,1.9,3.7,51%,0.4,0.5,82%,0.7,1.1,1.9,0.2,1.5,0.6,0.2,0.3,0.3,4.0,0
"Radanov, Aleksa",SG/F,CZV,SRB,202,23,14,29%,11.4,2.9,0.8,2.1,38%,0.2,0.7,30%,1.0,2.8,36%,0.7,0.9,83%,0.5,0.9,1.4,0.5,1.6,1.1,0.1,0.7,0.0,1.5,0
"Dobric, Ognjen",SG/F,CZV,SRB,200,27,32,25%,18.6,8.3,1.0,2.6,40%,1.6,3.6,46%,2.7,6.2,43%,1.3,1.5,86%,0.5,1.5,2.0,0.8,1.4,1.5,0.9,1.1,0.0,7.0,0
"Simonovic, Marko",PF,CZV,SRB,203,35,23,30%,18.6,5.3,0.6,1.5,37%,1.2,2.6,46%,1.7,4.1,43%,0.7,0.9,71%,0.3,2.1,2.3,0.5,1.6,1.0,0.3,0.4,0.0,4.7,0
"Jagodic-Kuridza, Marko",PF,CZV,CRO,205,34,34,29%,18.7,4.4,1.1,3.0,38%,0.4,1.1,35%,1.5,4.1,37%,0.9,1.2,78%,1.1,1.9,2.9,1.1,2.1,1.5,0.4,0.6,0.1,4.5,0
"Simanic, Borisa",PF,CZV,SRB,209,23,3,33%,4.3,1.0,0.0,0.0,-,0.3,0.7,50%,0.3,0.7,50%,0.0,0.0,-,0.0,1.0,1.0,0.3,0.7,0.0,0.3,0.3,0.0,1.3,0
"Kuzmic, Ognjen",C,CZV,SER,214,31,32,31%,13.9,3.8,1.5,2.8,54%,0.0,0.0,-,1.5,2.8,54%,0.8,1.2,64%,1.8,2.2,3.9,0.3,1.2,1.1,0.3,0.5,0.3,6.1,0
"Rochestie, Taylor",PG/SG,CZV,USA,186,36,9,33%,11.3,3.9,1.0,1.8,56%,0.6,1.2,45%,1.6,3.0,52%,0.2,0.2,100%,0.2,0.4,0.7,2.0,1.0,0.4,0.0,1.0,0.1,3.6,0
"Terry, Emanuel",C,CZV,USA,206,25,9,33%,18.9,5.6,2.2,3.4,65%,0.0,0.0,-,2.2,3.4,65%,1.1,1.9,59%,1.6,2.9,4.4,0.4,2.7,1.4,0.4,1.0,1.1,7.6,0
"O'Bryant, Johnny",PF/C,CZV,USA,206,28,16,25%,20.7,11.3,3.3,6.5,50%,0.8,2.3,32%,4.0,8.8,45%,2.5,3.4,74%,1.0,4.2,5.2,1.4,2.5,3.2,0.6,2.5,0.3,11.1,0
"Colom, Quino",PG,CZV,ESP,188,33,8,25%,14.2,6.6,0.9,2.1,41%,0.9,1.9,47%,1.8,4.0,44%,2.3,2.9,78%,0.1,0.8,0.9,2.5,0.8,2.1,0.1,2.5,0.0,5.9,0
"Nnoko, Landry",C,CZV,CAM,208,27,10,30%,20.8,7.1,3.2,5.5,58%,0.0,0.0,-,3.2,5.5,58%,0.7,1.2,58%,2.1,3.1,5.2,0.7,1.8,1.9,0.6,1.5,0.7,9.8,0
"Bolomboy, Joel",PF/C,CSK,RUS,206,27,24,63%,16.9,5.3,1.8,3.0,60%,0.2,0.7,25%,2.0,3.7,54%,1.1,1.5,77%,1.8,2.1,3.9,0.3,1.6,1.3,0.6,0.7,0.5,7.3,0
"Khomenko, Alexander",SG,CSK,RUS,192,22,15,67%,5.7,1.9,0.6,1.1,53%,0.1,0.3,20%,0.7,1.5,45%,0.5,0.6,89%,0.3,0.0,0.3,0.2,1.3,1.2,0.0,0.5,0.0,0.8,0
"James, Mike",PG,CSK,USA,185,31,27,67%,31.2,19.3,3.6,7.0,51%,2.6,7.3,35%,6.2,14.4,43%,4.4,5.4,81%,0.6,2.6,3.1,5.7,1.6,4.8,1.0,2.9,0.1,19.7,0
"Hilliard, Darrun",SG/F,CSK,USA,198,28,32,69%,20.2,9.6,1.9,4.3,44%,1.5,4.3,35%,3.4,8.6,39%,1.3,1.6,86%,0.4,1.8,2.1,1.1,1.8,1.7,0.7,1.1,0.2,6.6,0
"Ukhov, Ivan",PG,CSK,RUS,193,26,21,71%,8.5,1.7,0.2,0.9,22%,0.4,1.2,35%,0.6,2.1,30%,0.0,0.2,25%,0.2,0.6,0.9,0.7,1.7,0.5,0.1,0.5,0.0,0.0,0
"Hackett, Daniel",PG,CSK,ITA,197,34,25,68%,23.4,8.8,1.4,3.3,41%,1.4,3.2,44%,2.8,6.4,43%,1.9,2.3,83%,0.6,2.2,2.7,2.0,2.9,3.7,0.9,1.2,0.0,9.9,0
"Antonov, Semen",PF,CSK,RUS,202,32,27,74%,8.6,1.7,0.4,0.8,50%,0.3,0.7,37%,0.7,1.5,44%,0.1,0.2,50%,0.5,0.5,1.0,0.4,1.3,0.2,0.2,0.2,0.1,1.1,0
"Strelnieks, Janis",SG,CSK,LAT,191,32,21,71%,14.3,4.7,1.0,2.2,46%,0.8,1.9,41%,1.8,4.0,44%,0.4,0.7,64%,0.0,0.8,0.9,1.8,1.9,0.6,0.3,0.5,0.0,3.3,0
"Voigtmann, Johannes",C,CSK,GER,214,29,32,69%,19.1,8.4,1.6,2.6,61%,1.3,2.9,46%,2.9,5.5,53%,1.3,1.4,89%,1.2,3.6,4.8,1.3,1.6,1.4,0.5,1.0,0.3,11.3,0
"Clyburn, Will",F,CSK,USA,201,31,26,81%,25.9,13.3,2.7,5.7,48%,1.5,3.8,38%,4.2,9.6,44%,3.4,4.3,79%,0.9,2.7,3.6,1.6,2.0,4.1,0.8,1.6,0.1,13.1,0
"Shengelia, Tornike",PF,CSK,GEO,203,30,32,72%,24.7,11.4,3.2,6.3,51%,0.8,2.5,34%,4.1,8.8,46%,2.4,3.7,65%,1.9,2.9,4.8,2.2,2.7,3.7,1.2,2.0,0.2,12.3,0
"Lopatin, Andrei",PF,CSK,RUS,208,23,2,100%,3.4,0.0,0.0,0.0,-,0.0,0.5,0%,0.0,0.5,0%,0.0,0.0,-,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0
"Milutinov, Nikola",C,CSK,SER,213,27,20,70%,23.5,9.9,3.9,5.8,67%,0.1,0.1,50%,3.9,5.9,67%,2.0,2.9,70%,4.4,4.2,8.6,0.8,1.4,2.9,0.4,0.7,0.5,17.9,0
"Kurbanov, Nikita",F,CSK,RUS,202,35,34,71%,22.0,4.0,0.8,1.2,62%,0.6,1.6,36%,1.4,2.9,47%,0.7,1.0,70%,0.7,1.8,2.5,0.9,1.9,1.0,0.6,0.8,0.3,4.7,0
"Umrikhin, Yury",SG,CSK,RUS,188,22,1,100%,0.1,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Lundberg, Iffe",PG,CSK,DEN,193,27,10,80%,20.2,10.4,2.4,4.0,60%,1.6,3.3,48%,4.0,7.3,55%,0.8,1.3,62%,0.5,1.8,2.3,2.0,2.1,1.9,0.9,0.8,0.0,10.8,0
"Eric, Michael",C,CSK,NIG,210,33,9,89%,15.9,7.3,3.6,4.9,73%,0.0,0.0,-,3.6,4.9,73%,0.2,0.4,50%,2.6,2.3,4.9,0.3,1.6,0.8,0.9,0.7,0.4,10.7,0
"Davies, Brandon",C,FCB,USA,208,30,28,75%,20.5,11.6,4.3,7.2,59%,0.0,0.2,17%,4.3,7.4,58%,3.0,3.9,77%,1.5,2.4,3.9,1.5,2.9,4.5,0.7,2.2,0.5,13.2,0
"Hanga, Adam",F,FCB,HUN,201,32,34,71%,16.8,4.9,1.2,2.6,47%,0.6,2.0,33%,1.9,4.6,41%,0.5,0.8,64%,0.6,1.8,2.4,1.9,2.1,1.2,0.8,1.3,0.3,5.0,0
"Bolmaro, Leandro",SG,FCB,ITA,198,21,24,63%,7.9,2.5,0.5,1.3,39%,0.3,0.6,40%,0.8,1.9,39%,0.7,1.0,74%,0.2,0.7,0.9,1.2,1.2,1.0,0.3,0.9,0.0,2.3,0
"Smits, Rolands",PF,FCB,LAT,207,26,34,71%,16.5,6.1,1.9,2.8,67%,0.5,1.2,41%,2.4,4.0,59%,0.9,1.1,77%,1.1,2.2,3.4,0.6,2.2,1.4,0.4,1.1,0.2,6.8,0
"Heurtel, Thomas",PG,FCB,FRA,189,32,12,83%,13.5,2.9,0.8,2.2,35%,0.3,1.6,21%,1.1,3.8,29%,0.4,0.5,83%,0.2,1.0,1.2,2.4,0.9,0.6,0.4,1.8,0.0,1.9,0
"Pustovyi, Artem",C,FCB,UKR,216,29,15,53%,7.9,2.8,1.1,1.5,70%,0.0,0.0,-,1.1,1.5,70%,0.7,1.0,67%,0.7,0.5,1.2,0.2,1.5,0.9,0.3,0.8,0.5,2.7,0
"Badji, Ibou",C,FCB,SEN,215,19,3,67%,1.9,0.0,0.0,0.3,0%,0.0,0.0,-,0.0,0.3,0%,0.0,0.0,-,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-0.7,0
"Oriola, Pierre",PF,FCB,ESP,208,29,32,72%,16.7,6.2,2.4,4.2,57%,0.2,0.3,50%,2.6,4.5,57%,0.9,1.4,64%,1.6,2.5,4.1,0.9,2.2,1.3,0.2,1.3,0.3,6.8,0
"Abrines, Alex",F,FCB,ESP,198,28,32,72%,19.9,7.1,0.7,1.4,47%,1.7,3.9,43%,2.3,5.3,44%,0.8,0.8,93%,0.6,1.3,1.9,0.8,2.5,1.0,0.7,0.3,0.2,5.6,0
"Higgins, Cory",SG,FCB,USA,196,32,32,72%,26.1,12.6,3.5,6.8,52%,0.9,2.5,38%,4.5,9.3,48%,2.8,3.0,93%,0.4,1.8,2.2,2.4,1.6,3.8,1.0,1.7,0.1,13.4,0
"Martinez, Sergi",F/PF,FCB,ESP,202,22,24,75%,10.8,2.0,0.8,1.4,55%,0.1,0.6,21%,0.9,2.0,45%,0.2,0.3,57%,0.8,1.5,2.2,0.4,1.5,0.5,0.2,0.7,0.0,2.0,0
"Kuric, Kyle",SG,FCB,USA,193,32,32,72%,17.9,8.1,0.9,1.7,53%,1.8,3.1,59%,2.7,4.8,56%,0.9,0.9,93%,0.3,1.3,1.6,0.4,1.4,1.2,0.3,0.6,0.0,7.5,0
"Badio, Brancou",SG,FCB,SEN,191,22,1,0%,0.4,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"Claver, Victor",F/PF,FCB,ESP,207,33,10,80%,13.9,2.6,0.7,0.9,78%,0.3,1.4,21%,1.0,2.3,43%,0.3,0.4,75%,0.7,1.5,2.2,0.3,1.4,0.7,0.5,0.5,0.2,3.2,0
"Mirotic, Nikola",F/PF,FCB,ESP,208,30,26,69%,25.5,16.9,4.5,6.8,65%,1.5,3.5,42%,5.9,10.3,57%,3.6,4.2,86%,1.9,4.3,6.3,1.1,1.7,4.7,1.2,1.7,0.4,22.0,0
"Calathes, Nick",PG,FCB,GRE,198,32,34,71%,25.0,7.5,2.3,5.0,46%,0.8,2.4,32%,3.1,7.4,41%,0.6,1.2,50%,0.4,3.1,3.4,7.0,2.3,1.6,1.0,2.5,0.1,10.5,0
